query,users,%share,,,,,,,,,,,,,,,,,,,,,240670,Volume based classification,Intent based classification
t shirt,15336,6.37%,,,,,,,,,,,,,,,,,,,,,,High Volume,A.1 Bare Product
joggers,6951,2.89%,,,,,,,,,,,,,,,,,,,,,,High Volume,A.1 Bare Product
printed t-shirts,3257,1.35%,,,,,,,,,,,,,,,,,,,,,,High Volume,A.4 Product + Style
vests,2939,1.22%,,,,,,,,,,,,,,,,,,,,,,High Volume,A.1 Bare Product
anime,2588,1.08%,,,,,,,,,,,,,,,,,,,,,,High Volume,B.1 Bare Character/Theme
Shirt,2441,1.01%,,,,,,,,,,,,,,,,,,,,,,High Volume,A.1 Bare Product
Shirts,1553,0.65%,,,,,,,,,,,,,,,,,,,,,,High Volume,A.1 Bare Product
Jeans,1408,0.59%,,,,,,,,,,,,,,,,,,,,,,High Volume,A.1 Bare Product
Anime,1286,0.53%,,,,,,,,,,,,,,,,,,,,,,High Volume,B.1 Bare Character/Theme
Shoes,1208,0.50%,,,,,,,,,,,,,,,,,,,,,,High Volume,A.1 Bare Product
Hoodie,1127,0.47%,,,,,,,,,,,,,,,,,,,,,,High Volume,A.1 Bare Product
Demon slayer,1035,0.43%,,,,,,,,,,,,,,,,,,,,,,High Volume,B.1 Bare Character/Theme
Shorts,959,0.40%,,,,,,,,,,,,,,,,,,,,,,Medium Volume,A.1 Bare Product
Batman,870,0.36%,,,,,,,,,,,,,,,,,,,,,,Medium Volume,B.1 Bare Character/Theme
Bag,806,0.33%,,,,,,,,,,,,,,,,,,,,,,Medium Volume,A.1 Bare Product
Cargo,806,0.33%,,,,,,,,,,,,,,,,,,,,,,Medium Volume,A.1 Bare Product
Marvel,764,0.32%,,,,,,,,,,,,,,,,,,,,,,Medium Volume,B.1 Bare Character/Theme
Hoodies,761,0.32%,,,,,,,,,,,,,,,,,,,,,,Medium Volume,A.1 Bare Product
Naruto,754,0.31%,,,,,,,,,,,,,,,,,,,,,,Medium Volume,B.1 Bare Character/Theme
Lower,703,0.29%,,,,,,,,,,,,,,,,,,,,,,Medium Volume,A.1 Bare Product
T shirt,624,0.26%,,,,,,,,,,,,,,,,,,,,,,Medium Volume,A.1 Bare Product
Jacket,614,0.26%,,,,,,,,,,,,,,,,,,,,,,Medium Volume,A.1 Bare Product
Shirt for men,588,0.24%,,,,,,,,,,,,,,,,,,,,,,Medium Volume,A.2 Product + Gender
